AQI,CO2_Level_ppm,NO2_Level_ppm,PM2_5_ug_m3,PM10_ug_m3,pH_Level,Nitrogen_mg_kg,Phosphorus_mg_kg,Potassium_mg_kg,Moisture_Level_%,Plot_Area_m2,Plant_Type
109.87,418.41,10.26,58.75,118.74,6.14,69.16,44.57,59.7,35.08,196.39,Drumstick
122.15,409.32,11.91,48.74,115.84,6.4,76.56,54.91,67.33,47.1,337.9,Amla
107.78,401.5,9.8,63.94,122.07,5.95,65.33,50.68,60.8,48.35,216.08,Drumstick
111.9,422.79,11.68,54.36,109.38,6.98,108.23,47.63,73.77,59.38,564.6,Mango
95.96,410.69,10.7,53.08,120.81,6.91,74.58,41.14,39.61,37.83,300.23,Neem
110.06,400.11,16.61,61.89,113.68,6.38,92.18,65.33,61.99,64.77,406.28,Jamun
97.26,406.23,12.66,57.95,117.36,6.68,79.14,53.36,67.78,57.13,360.89,Jamun
68.57,418.18,9.17,54.38,116.14,6.62,56.88,42.28,53.42,43.2,215.88,Drumstick
109.3,407.64,16.79,55.69,123.45,6.85,76.05,30.09,39.46,39.79,284.43,Neem
89.72,406.39,11.73,59.62,113.82,6.46,89.08,56,50.77,60.28,450.86,Jamun
118.36,430.11,12.63,52.61,110.72,7.1,87.03,50.72,68.58,50.77,427.63,Mango
104.08,402.78,16.22,55.26,125.71,6.63,72.34,37.13,39.18,44.2,268.56,Neem
119.23,425.31,14.28,53.61,120.99,7.17,73.78,62.14,60.29,48.72,341.55,Amla
108.49,435.6,16.19,51.93,120.7,5.54,104.27,58.58,67.38,56.81,404.46,Jamun
75.58,442.6,14.87,54.75,125.93,6.65,92.87,45.44,85.61,53.23,507.37,Mango
109.59,417.58,10.45,56.64,118.92,6.11,57.49,37.16,52.63,49.54,217.99,Drumstick
62.67,397.52,12.78,52.08,114.75,6.38,103.38,43.18,82.62,46.93,505.82,Mango
107.64,406.66,7.84,56.47,113.71,5.52,48.89,46.54,68.83,46.54,195.97,Drumstick
103.94,397.31,9.93,58.49,127.27,7.4,89.3,52.68,79.53,52.81,475.38,Mango
82.68,412.35,8.46,59.58,107.8,6.45,88.87,61.25,59.63,56.91,395.16,Jamun
80.62,410.78,10.94,53.63,108.08,7.03,77.66,38.3,36.38,39.04,322.23,Neem
132.8,418.22,12.09,60.97,108.9,6.82,119.01,53.69,77.13,60.03,435.92,Mango
110.18,415.25,13.64,49.49,117.02,6.69,59.52,37.22,41.4,45.67,264.59,Neem
80.67,410.98,12.26,55.08,106.45,6.81,61.24,42.88,40.57,48.41,329.5,Neem
151.06,415.67,8.25,55.85,111.02,6.05,59.5,49.77,54,46.23,207.54,Drumstick
126.56,419.01,13.12,48.31,106.36,6.6,89.51,59.71,58.95,63.26,475.07,Jamun
111.25,428.98,15.16,55.76,111.98,6.29,63.06,48.02,56.83,45.73,207.86,Drumstick
114.37,425.68,13.73,52.79,115.3,6.42,61.07,36.25,42.54,28.48,348.94,Neem
100.06,407.47,17.24,55.76,113.28,7.11,98.55,56.51,70.9,49.17,273.36,Amla
88.86,427.53,13.1,58.42,120.54,6.92,71.72,42.93,36.42,32.93,284.21,Neem
98.05,403.39,13.77,60.62,127,6.03,64.53,42.92,65.11,45.37,190.44,Drumstick
108.35,399.29,11.06,57.88,116.93,7.61,75.57,38.97,41.03,31.48,302.71,Neem
64.75,396.7,9.11,56.78,111.67,7.1,64.55,36.47,39.24,47.63,314.94,Neem
111,423.93,9.25,52.98,115.55,7.05,108.56,51.32,72.29,52.43,486.59,Mango
105.13,409.23,14.62,64.41,118.54,6.86,73.03,55.21,64.23,51.57,308.26,Amla
94.78,426.71,12.24,50.77,112.88,6.53,83.14,59.09,66.05,47.03,306.56,Amla
103.49,421.38,16.07,50.1,120.09,6.77,120.18,52.34,83.92,50.55,424.14,Mango
73.76,419.16,11.22,62.1,108.32,6.54,102.9,40.42,81.51,54.89,426.82,Mango
130.93,414.26,15.07,50.5,111.93,5.73,62.44,40.73,49.7,45.14,187.42,Drumstick
101.09,404.08,8.47,55.92,121.46,7.03,64.51,44.84,38.33,42.63,271.18,Neem
86.61,418.27,20.7,54.79,109.09,6.87,70.48,38.09,54.05,47.97,216.06,Drumstick
77.74,414.82,11.07,55.84,108.62,6.72,76.84,48.6,69.5,58.64,303.85,Amla
88.81,416.6,12.47,57.8,114.76,6.65,71.19,44.61,27.8,28.85,314.7,Neem
76.32,404.14,14.24,54.54,113.32,6.16,94.73,63.93,58.51,50.73,516.47,Jamun
100.6,418.01,14.22,60.55,121.94,7.17,116.07,48.21,74.14,61.71,450.8,Mango
68.96,406.44,19.53,60.39,102.95,6.38,64.73,48.11,49.92,43.02,263.45,Neem
120.69,421.92,6.47,54.65,128.55,6.86,66.2,51.59,36.2,43.24,281.02,Neem
123.38,406.89,9.75,60.47,110.32,6.63,74.25,38.38,32.59,34.4,264.54,Neem
92.54,415.15,9.8,52.33,112.82,6.36,56.48,48.03,52.59,41.95,191.47,Drumstick
86.38,414.31,11.76,54.14,123.4,6.75,108.32,48.69,79.05,62.18,553.76,Mango
98.25,404.05,14.01,57.09,109.15,6.76,76.18,66.74,60.81,56.7,418.06,Amla
105.87,405.75,8.51,46.45,114.01,6.09,51.85,49.58,50.86,45.48,175.56,Drumstick
113.54,421.96,10.29,59.4,112.38,7.04,74.42,42.15,48.83,48.61,276.25,Neem
76.42,438.04,10.31,59.84,110.61,5.93,47.78,46.85,44.71,45.57,189.8,Drumstick
74.97,419.67,14.37,47.08,111.31,7.05,121.18,53.5,79.56,51.6,536.99,Mango
92.28,416.1,14.59,51.88,115.74,6.7,83.6,62.28,62.46,60.94,400.18,Jamun
115.85,419.17,8.93,55.08,113.57,6.69,77.4,41.53,39.29,42.02,319.77,Neem
97.86,422.78,10.44,62.65,119.01,6.76,84.52,57.35,61.26,59.88,385.13,Jamun
100.8,418.07,17.03,57.27,111.37,7.34,56.64,46.57,37.29,43.63,306.22,Neem
93.69,411.93,15.65,60.61,125.82,6.96,68.24,35.89,34.4,37.81,277.89,Neem
108.4,419.87,11.4,62.4,117.77,7.06,73.37,42.8,39.08,45.59,312.19,Neem
97.88,409.6,11.21,48.26,117.31,6.65,64.04,50.46,59.76,48.33,225.82,Drumstick
114.59,421.05,13.94,59.79,113.64,6.86,84.42,52.95,70.37,44.2,344.5,Amla
78.37,428.37,12.71,57.13,121.31,7.03,64.18,56.63,69.29,39.49,314.72,Amla
90.97,408.49,12.23,61.34,114.23,6.71,79.65,62.42,58.92,53.58,267.98,Amla
133.44,410.1,8.15,46.2,116.38,6.88,68.82,45.24,47.08,45.56,180.61,Drumstick
99.49,409.44,14.13,53.05,115.08,6.55,96.27,47.9,83.95,52.69,554,Mango
81.26,422.4,6.03,53.56,121.83,6.68,69.93,39.97,40.82,35.49,264,Neem
118.46,410.85,13.02,59.09,123.71,6.96,69.48,45.64,43.89,47.4,275.64,Neem
81.25,404.56,13.24,39.25,105.22,6.5,56.03,49.89,64.38,41.52,191.88,Drumstick
92.24,428.7,11.28,57.13,116.68,6.72,78.12,47.85,64.41,51.05,324.95,Amla
87.33,411.41,10.46,59.81,112.32,7.14,78.14,48.19,65.18,46.97,364.04,Amla
122.7,412.15,16.05,53.44,113.61,6.98,85.3,63.06,73.14,54.71,419.37,Amla
122.99,417.53,9.02,43.78,115.68,7.27,101.83,58.98,79.6,59.71,417.01,Mango
94.89,405.65,12.73,56.57,117.05,6.63,82.31,58.67,55.97,60.95,387.25,Jamun
119.69,418.57,14.28,47.69,105.77,6.38,89.3,57.69,60.48,59.55,493.21,Jamun
96.57,413.78,16.9,52.45,116.36,6.63,64.21,45.08,50.19,47.67,180.94,Drumstick
99.09,424.75,6.56,60.38,113.75,6.78,80.13,49.7,63.97,55.71,298.24,Amla
95.99,412.54,10.91,45.76,112.32,7.2,81.68,43.53,38.94,32.73,306.43,Neem
115.87,414.93,11,47.32,118.65,6.99,91.44,47.75,76.26,58.59,493.98,Mango
98.27,411.17,10.42,59.14,124.92,7.4,76,61.16,62.22,52.74,353.51,Amla
120.8,433.96,16.61,55.24,119.96,6.49,56.87,48.53,65.17,42.3,213,Drumstick
89.97,409.91,9.23,46.76,116.33,6.84,76.95,38.51,35.32,42.93,222.55,Neem
63.1,422.9,10.02,54.07,111.88,6.47,82.95,61.22,63.86,54.14,407.91,Jamun
93,404.82,15.22,59.53,117.02,7.13,79.92,46.99,68.38,58.37,334.2,Amla
95.6,430.33,14.01,51.82,117.03,5.91,79.78,56.15,63.96,62.75,469.58,Jamun
77.14,411.42,11.79,54.18,116.07,6.89,99.75,53.15,82.51,54.24,387.02,Mango
92.65,413.43,10.39,55.65,120.02,6.46,68.37,45.13,61.41,48.12,236.11,Drumstick
122.8,437.62,12.72,46.61,116.97,6.42,100.01,61.13,50.81,53.46,424.36,Jamun
94.09,422.01,14.84,54.7,111.3,6.97,61.17,62.15,65.49,50.98,391.04,Amla
85.94,423.2,12.75,56.47,113.72,7.08,106.19,52.2,80.97,52.05,437.19,Mango
95.35,416.52,10.17,55.87,111.53,6.91,80.35,46.2,38.21,42.71,219.86,Neem
78.19,412.42,15.09,61.61,112.54,6.52,93.17,64.01,62.28,62.25,347.69,Jamun
92.74,412.02,15.87,55.65,120.01,6.91,91.75,53.91,62.81,52.08,291.81,Amla
96.64,410.75,7.19,50.42,108.15,6.55,92.95,58.57,69.79,56.29,520.42,Jamun
107.41,396.75,12.62,53.75,114.1,7.06,79.07,51.8,58.66,49.89,369.35,Amla
112.5,403.52,10.77,54.01,116.62,7.09,96.24,54.27,64.26,65.24,403.82,Jamun
102.99,412.06,9.67,47.31,115.51,6.51,67.88,46.72,34.6,43.06,331.81,Neem
84.72,409.31,18.06,53.76,112.67,6.89,92.36,57.63,55.17,66.06,331.91,Jamun
84.01,415.17,2.52,62.3,111.23,6.57,68.09,37.82,45.31,41.23,321.87,Neem
92.23,412.41,11.14,59.96,109.49,6.04,86.85,61.92,61.55,47.35,408.58,Jamun
116.26,409.17,9.05,52.89,119.55,6.32,47.99,38.67,58.77,43.93,201.88,Drumstick
96.29,417.84,20.81,54.34,108.53,7.06,110.44,51.54,86.2,51.37,460.32,Mango
101.81,410.99,17.73,54.92,113.12,7.73,72.54,54.38,68.01,43.49,384.35,Amla
119.21,414.95,12.22,56.71,112.96,6.91,76.79,48.47,39.85,36.23,307.57,Neem
105.41,419.82,8.44,62.16,116.02,6.51,92.2,46.05,74.37,56.91,496.15,Mango
62.84,429.79,15.05,53.99,117.44,6.87,93.68,54.49,55.02,50.64,378.02,Jamun
80.28,409.59,10.39,60.76,117.49,6.14,57.4,40.28,47.31,49.11,192.24,Drumstick
72.79,399.75,10.14,55.12,115.66,6.43,60.39,44.9,51.52,42.99,259.78,Drumstick
105.92,421.7,13.79,48.68,121.77,7,113.45,53.43,80.15,57.86,534.17,Mango
103,398.15,7.96,67.02,113.83,6.92,76.48,46.12,79.51,56.05,363.59,Amla
85.66,432.12,13.91,55.49,120.9,6.6,82.63,48.35,85.43,51.83,504.34,Mango
100.87,423,8.42,55.38,108.42,6.21,58.98,45.29,54.87,53.47,213.46,Drumstick
115.04,413.09,8.88,52.68,116.05,6.46,91.79,45.65,75.94,39.95,453.33,Mango
89.79,418.31,10.49,60.39,114.35,7.02,78.77,60.54,59.95,52.57,301.92,Amla
65.76,393.93,17.72,52.42,114.81,7,78.8,49.85,63.63,51.79,241.13,Amla
78.85,420.05,3.48,49.95,119.93,6.64,99.21,41.42,86.28,47.98,506.85,Mango
123.16,433.57,12.37,54.58,120.07,6.65,79.54,58.18,64.84,47.94,332.05,Amla
116.61,405.85,6.55,62.2,120.61,6.91,78.48,54.46,54.36,48.69,274.48,Amla
87.35,422.85,13.01,51.81,116.88,6.52,83.26,51.65,54.08,52.95,446,Jamun
90.65,417.25,11.94,62.43,123.46,7.24,90.07,48.16,75.89,55.9,497.42,Mango
118.69,430.91,5.4,47.96,119.75,7.2,94.19,54.62,83.49,49.7,467.09,Mango
107.22,417.57,11.16,59.08,120.47,6.45,82.28,59.87,60.31,58.13,367.25,Jamun
98.86,425.72,14.93,49.61,117.43,6.67,66.48,43.25,67.32,43.62,349.12,Amla
122.52,409.34,21.57,53.54,110.45,7.03,82.86,52.2,68.47,52.39,334.16,Amla
85.79,411.03,17.37,50.78,120.42,7.08,77.46,39.87,47.93,44.4,337.76,Neem
120.27,420.6,10.28,63.07,119.78,6.07,66.62,47.54,51.64,48.86,212.13,Drumstick
72.91,414.01,16.15,49.66,122.78,6.58,110.28,60.63,59.94,63.19,409.11,Jamun
90.57,412.6,17.23,54.89,124.3,7.31,83.8,58.1,72.15,50.54,371.24,Amla
96.72,416.23,15.72,44.28,119.47,6.79,82.65,60.89,67.11,65.16,418.13,Jamun
137.05,405.26,7.75,52.28,123.51,7.08,88.26,52.51,74.11,46.29,579.98,Mango
105.44,411.49,14.88,56.28,112.05,6.18,94.57,62.78,66.8,62.53,318.37,Jamun
83.82,421.67,11.57,44.3,112.69,7.34,100.08,60.48,46.46,53.51,434.78,Jamun
94.17,410.08,14.41,51.46,116.41,6.78,109.49,57.43,87.33,50.2,493.9,Mango
103.93,398.53,10.29,48.68,107.05,6.56,107.93,57.45,51.9,54.65,390.46,Jamun
107.7,415.16,15.11,56.02,113.55,7.45,76.09,52.75,66.26,50.23,462.16,Amla
109.45,409.69,14.87,56.95,112.82,5.83,98.15,41.77,80.05,51.46,486.49,Mango
56.16,414.09,14.23,55.18,115.13,7.16,64.12,36.52,42.17,38.95,275,Neem
137.72,405.99,11.12,66.09,115.81,6.97,98.6,59.1,80.33,51.33,524.05,Mango
111.5,402.3,9.4,54.33,114.69,6.01,69.99,45.64,56.62,38.13,189.26,Drumstick
78.04,414.63,9.46,59.08,111.36,6.18,59.78,40.62,46.88,37.36,196.9,Drumstick
117.73,415.54,11.62,56.63,121.67,6.44,64.08,49.28,49.69,47.06,198.98,Drumstick
103.78,410.89,10.77,59.67,115.35,7.09,77.37,40.59,37.82,41.39,321.04,Neem
86.36,412.88,13.7,59.77,106.93,6.67,76.95,51.2,81.66,49.81,527.22,Mango
72.82,423.75,18.06,49.44,115.61,5.55,57.46,45.39,52.76,39.44,192.99,Drumstick
92.71,394.96,3.57,59.88,118.1,7.12,89.31,49.32,63.67,56.88,325.52,Amla
116.53,426.25,16.41,53.83,116.89,7.54,77.86,50.77,66.66,43.21,317.66,Amla
110.39,404.71,12.92,58.89,119.28,6.83,115.4,52.39,75.21,61.16,496.32,Mango
99.58,434.96,8.08,44.66,120.16,6.87,91.61,48.33,77.57,52.38,421.71,Mango
107.34,405.78,9.01,66.71,129.3,7.02,69.82,31.69,40.84,45.95,257.24,Neem
112.1,406.13,13.53,57.81,115.22,6.21,64.98,43.02,53.87,52.1,182.49,Drumstick
72.64,420.42,11.02,58.46,117.5,5.99,81.87,63.41,54.66,52.03,357.94,Jamun
140.19,416.55,10.04,45.13,113.11,6.56,98.39,58.94,60.95,54.64,371.97,Jamun
98.26,404.24,16.03,50.67,111.93,6.27,63.39,50.82,51.66,45.61,240.69,Drumstick
105.69,410.31,9.84,50.02,112.21,7.01,74.74,40.93,43.31,43.87,265.3,Neem
74.61,417.61,12.38,44.45,112.8,7.17,78.83,62.57,65.59,57.99,369.99,Jamun
78.12,418.59,9.82,49.59,116.22,6.59,61.82,30.28,51.23,46.03,324.02,Neem
126.16,417.37,13.75,53.86,122.1,6.12,100.29,58.57,54.92,61.92,433.42,Jamun
109.57,406.95,13.98,59.63,112.92,7.42,76.44,61.33,72.04,45.59,307.91,Amla
109.43,422.89,17.18,55.36,119.46,6.93,99.72,61.16,81.03,54.82,499.9,Mango
117.03,417.55,15.56,52.72,113.87,6.64,88.83,51.57,70.09,51.53,408.48,Amla
78.87,406.12,14.12,45.11,111.15,7.35,71.58,40.44,49.24,46.16,310.24,Neem
107.98,401.01,13.07,55.82,114.36,6.22,108.67,56.93,76.02,64.94,540.69,Mango
87.47,406.64,13.19,50.36,123.89,6.33,61.41,41.75,54.45,44.14,206.67,Drumstick
98.67,420.65,12.02,54.95,110.03,7.05,69.42,45.72,31.96,39.42,296.88,Neem
103.25,425.1,14.44,57.52,113.22,6.23,95.36,56.85,64.79,54.2,440.98,Jamun
116.15,414.99,14.12,51.71,120.93,7.01,60.37,35.93,45.25,45.55,306.7,Neem
116.97,415.48,15.46,53.4,114.5,6.24,48.4,41.71,52.49,45.86,185.21,Drumstick
92.46,412.1,9.75,55.91,113.51,6.65,100.83,60.6,63.35,60.11,480.46,Jamun
101.52,415.46,9.66,54.46,123.47,6.63,99.17,55.23,85.99,54.02,525.41,Mango
48.58,411.87,11.7,59.91,110.7,6.76,81.84,47.31,38.42,37.87,285.41,Neem
102.56,395.88,16.59,49.07,114.04,6.91,98.13,52.19,75.17,62.65,510.28,Mango
119.85,416.31,12.42,52.55,124.9,6.59,68.32,39.82,39.05,44.18,307.09,Neem
107.82,416.4,14,53.56,121.46,7.12,96.2,59.03,57.55,64.6,395.75,Jamun
101.54,406.2,8.86,51.8,114.93,6.11,54.22,49.17,57.93,45.54,219.91,Drumstick
115.49,416.99,9.34,52.74,117.34,6.79,107.13,50.63,79.98,59.62,443.09,Mango
111.98,442.64,11.27,58.55,121.84,6.7,64.73,40.15,39.79,45.23,297.48,Neem
117.86,421.14,9.62,46.65,120.35,6.82,60.27,44.06,53.32,43.08,202.21,Drumstick
78.37,414.55,10.27,47.37,111.08,7.09,113.53,57.64,79.51,59.65,515.82,Mango
97.23,396.11,9.12,53.77,113.09,6.68,81.22,50.1,59.31,52.57,339.68,Amla
101.99,412.7,13.05,40.88,112.83,6.33,108.88,56.68,79.28,54.82,484.82,Mango
84.97,412.31,13.8,56.83,121.9,6.05,64.86,44.81,56.76,52.88,185.33,Drumstick
121.98,432.95,6.76,60.46,129.49,6.64,104.41,46.89,71.14,55.09,525.65,Mango
99.61,417.96,11.17,51.18,106.98,7.13,61.33,39.8,42.23,32.27,300.21,Neem
88.17,413.42,9.03,51.66,125.82,6.77,84.37,45.77,66.86,54.34,341.32,Amla
107.82,394.96,12.79,51.06,116.51,7.05,83.5,56.88,64.8,54.71,347.97,Amla
171.24,399.81,7.79,54.48,117.58,6.35,54.5,50.1,54.89,43.41,202.56,Drumstick
118.65,419.54,12.26,56.39,122.08,7.03,87.93,61.93,68.1,56.97,382.94,Jamun
97.76,419.54,11.43,50.65,111.31,6.39,61.18,41.88,59.97,45.21,217.3,Drumstick
128.26,407.9,13.8,53.17,106.48,7.24,87.13,57.69,68.46,51.74,351.71,Amla
125.22,398.15,15.22,55.63,113.25,7.33,67.93,59.03,65.73,52.84,437.36,Amla
91.86,405.1,13.59,52.85,116.97,7,80.58,58.77,59.52,46.8,325.93,Amla
102.94,429.47,13.01,50.99,118.13,7.02,79.21,46.38,37.99,40.89,259.77,Neem
72.94,414.13,12.3,43.67,124.55,7.22,80.79,48.79,68.23,48.99,387.45,Amla
115.3,395.73,13.4,52.44,119.87,6.68,75.75,48.1,76.76,39.84,346.32,Amla
105.63,420.34,12.7,52.87,117.57,6.32,53.97,42.73,61.41,41.66,182.78,Drumstick
84.6,407.67,7.32,54.48,111.04,6.77,98.31,43.38,79.63,58.47,484.24,Mango
121.9,408.03,13.17,56.96,112.8,6.07,60.86,43.21,61.01,38.89,224.68,Drumstick
79.21,411.79,11.97,54.6,114.39,6.11,92.03,62.33,60.73,63.32,433.75,Jamun
110.3,411.99,15.09,50.71,112.57,6.31,41.61,49,50.34,41.67,204.2,Drumstick
111.86,414.3,8.48,59.46,114.54,6.83,73.96,57.53,63.92,56.72,402.49,Amla
96.67,420.98,7.11,50.01,117.11,6.62,58.19,32.33,31.91,40.26,289.81,Neem
129.87,409.31,10.18,53.19,118.38,6.5,87.26,57.88,53.24,57.55,468.49,Jamun
111.4,426.36,11.85,67.73,120.77,6.9,110.28,46.81,70.07,60.63,479.19,Mango
131.02,420.51,12.79,47.98,115.68,7.18,94.61,41.29,70.46,63.59,520.61,Mango
87.47,425.32,12.17,53.56,121.35,6.44,89.35,51.49,53.19,62.21,369.49,Jamun
82.54,412.28,13.98,52.4,125.43,7.1,80.96,54.81,64.51,55.08,320.35,Amla
115.45,409.25,11.32,52.63,123.39,7.05,92.78,54.19,59.32,65.51,433.14,Jamun
118.31,409.53,12.5,56.73,117.97,6.56,91.9,54.02,59.14,62.49,392.74,Jamun
117.4,411.99,11.88,60.97,121.31,6.81,108.72,48.4,78.57,55.16,508.54,Mango
40.19,420.75,4.62,49.77,126.37,6.5,71.72,48.76,35.01,30.63,338.29,Neem
28.11,412.08,11.74,57.83,118.03,6.24,79.25,56.68,71.65,48.47,426.98,Amla
77.02,413.21,14.79,62.38,109.64,6.33,62.2,37.77,52.16,42.33,238.57,Drumstick
65.87,421.81,12.68,56,117.01,6.46,81.39,54.08,59.14,54.82,352.27,Amla
124.32,411.16,8.11,53.8,124.04,6.85,64.24,39.31,42.99,31.12,285.87,Neem
95.61,415.01,13.9,62.14,112.51,7.35,112.59,46.41,78.95,55.66,487.84,Mango
100.27,412.91,13.21,53.7,113.85,7.25,83.17,59.16,65.83,60.3,371.57,Jamun
67.73,433.07,11.8,44.85,117.66,6.72,100.66,50.67,84.29,50.93,480.46,Mango
129.55,409.66,11.57,51.91,120.15,7.12,116.68,54.1,85.56,52.96,527.89,Mango
58.93,414.45,16.25,46.06,110.72,7.34,81.99,57.5,66.07,47.08,367.27,Amla
116.3,399.1,12.64,62.12,122.34,7.23,70.9,40.98,42.27,37.79,316.73,Neem
92.19,411.15,9.26,54.63,115.1,7.19,59.61,44.24,47.97,42.96,316.19,Neem
94.5,428.26,9.92,51.15,112.77,6.24,91.05,61.03,64.4,57.64,408.45,Jamun
78.78,415.56,13.65,53,109.83,7.29,92.64,52.88,69.33,49.45,357.11,Amla
85.96,421.22,11.66,53.59,115.48,6.06,99.93,42.54,76.64,52.57,456.49,Mango
103.04,433.64,8.19,45.04,121.49,6.47,68.87,50.56,59.13,48.49,196.14,Drumstick
85.71,432.87,10.73,49.27,112.55,7.28,82.85,57.27,70.3,49.77,358.94,Amla
118.29,410.93,21,54.31,125.64,6.69,84.36,54.69,62.79,59.06,473.07,Jamun
114.59,398.78,15.16,52.37,110.23,6.56,79.85,50.61,66.73,51.76,368.87,Amla
104.44,410.64,15.78,67.13,110.83,6.68,65.64,45,43.54,32.45,359.81,Neem
108.48,409.5,15.19,54.48,113.73,6.33,59.45,47.89,60.82,41.65,192.64,Drumstick
93.18,426.76,13.25,53.77,112.23,6.47,103.14,56.85,58.73,65.15,440.35,Jamun
71.12,429.86,12.22,52.36,119.65,6.78,74.71,40.8,44.57,48.77,297.95,Neem
109.13,423.81,15.1,58.1,116.25,6.45,88.71,63.87,49.65,67.14,375.53,Jamun
82.09,423.34,12.82,55.49,109.91,6.87,78.92,53.05,64.58,47.25,287.53,Amla
88.12,399.69,16.05,52.42,113.47,6.81,60.65,44.52,62.15,42.28,240.22,Drumstick
82.65,411.65,7.47,58.43,113.46,6.76,60.19,40.82,36.95,42.56,323.4,Neem
71.2,407.88,11.37,41.14,113.6,6.9,109.01,50.8,77.45,56.37,551.74,Mango
105.83,404.61,13.47,62.82,121.56,6.62,87.09,63.39,58.71,63.59,467.96,Jamun
109.3,409.8,14.16,55.67,122.47,6.1,79.32,50.01,55.5,50.12,193.77,Drumstick
77.74,412,10.92,51.96,116.93,6.05,97.45,55.22,61.09,69.75,398.85,Jamun
103.54,407.25,11.49,53.06,119.17,6.54,79.85,41.63,32.73,34.03,357.58,Neem
51.52,393.1,10.13,59.26,118.86,6.44,81.14,49.96,80.24,45.72,485.57,Mango
78.24,420.94,14.19,57.1,109.9,6.62,82.9,54.09,65.14,56.35,397.27,Jamun
111.83,437.74,13.7,46.88,115.18,6.58,56.07,41.84,54.25,47.25,204.86,Drumstick
99.83,399.03,10.17,50.5,111.53,6.3,68.28,42.08,55.98,50.2,193.8,Drumstick
80.25,391.46,11.15,49.53,116.08,7.19,58.98,45.57,57.54,46.6,176.38,Drumstick
78.38,414.69,11.55,53.4,110.21,7.06,125.03,53.34,84.57,59.84,526.34,Mango
121.48,415.91,14.52,50.92,113.55,6.34,94.45,64.71,68.1,53.69,422.68,Jamun
109.32,435.65,11.24,52.9,122.11,6.95,73.49,45.99,69.64,55.53,323.94,Amla
118.08,400.21,13.15,53.89,121.68,7.19,112.32,56.47,81.64,57.5,555.34,Mango
115.08,422.29,11.75,57.15,120.4,6.93,82.88,44.51,62.14,45.7,377.25,Amla
110.56,412.81,14.17,49.55,122.71,6.34,94.93,60.7,58.81,67.04,491.35,Jamun
107.82,408.65,10.01,56.68,122.81,6.92,81.43,59.08,65.8,59.19,373.72,Amla
89.4,410.47,15.42,55.72,118.2,7.03,112.36,46.66,71.5,55.07,534.23,Mango
91.35,431.28,11.56,56.17,113.46,6.55,65.8,50.26,52.15,46.21,230.2,Drumstick
107.89,424.79,8.03,59.72,112.32,6.2,57.59,37.52,55.8,44.01,217.02,Drumstick
