AQI,CO2_Level_ppm,NO2_Level_ppm,PM2_5_ug_m3,PM10_ug_m3,VOC_Level_ppm,pH_Level,Nitrogen_mg_kg,Phosphorus_mg_kg,Potassium_mg_kg,Moisture_Level_%,Organic_Matter_%,Plot_Area_m2,Plant_Type
194.12,847.75,71.52,34.66,34.57,2.22,6.05,69.57,35.04,34.81,45.79,1.51,53.97,Bonsai
163.02,791.91,48.98,40.71,41.91,2.95,6.64,53.83,39.46,37.34,47.54,1.4,49.03,Bonsai
158.59,792.34,37.11,36.27,49.66,2.36,4.87,101.23,63.03,56.1,36.1,2.39,232.88,Orchid
159.74,746.15,53.19,25.56,31.12,2.29,7.74,29.31,19.11,17.56,26.02,0.35,271.24,Succulent
137.49,846.11,43.54,30.29,42.15,3.32,7.99,34.84,23.83,20.14,22.32,0.68,283.85,Succulent
128.38,798.43,48.5,34.0,34.21,2.93,7.75,156.67,84.57,84.84,73.48,4.26,484.43,Ficus
162.18,789.7,53.25,34.82,41.98,1.48,6.19,56.54,42.06,39.94,53.98,2.35,59.87,Bonsai
170.97,781.64,53.67,36.18,43.49,2.08,8.05,31.51,19.87,17.97,23.52,0.49,313.37,Succulent
142.21,879.52,59.45,41.89,38.62,2.31,5.9,66.24,39.96,40.43,45.11,1.02,35.48,Bonsai
148.08,768.42,53.84,43.34,42.89,3.3,7.02,145.12,77.95,74.78,71.48,4.99,543.43,Ficus
170.38,805.01,53.45,47.02,38.44,2.96,5.71,71.84,39.72,40.25,54.83,2.03,37.72,Bonsai
141.21,768.22,30.86,27.83,41.65,2.61,6.91,156.84,86.05,80.97,63.82,3.8,503.61,Ficus
171.14,856.85,51.4,40.53,37.29,2.07,8.21,33.43,21.09,20.27,14.59,0.61,310.75,Succulent
138.07,866.94,47.25,37.04,36.46,2.7,8.3,29.76,22.56,26.29,20.09,0.31,281.82,Succulent
141.47,859.74,53.9,28.44,45.14,2.61,6.45,175.27,83.1,78.65,72.37,3.33,456.91,Ficus
184.16,762.37,53.13,42.91,42.04,2.74,8.32,29.48,21.24,21.29,20.99,0.62,376.26,Succulent
171.57,770.67,48.3,37.3,42.02,2.39,7.52,133.06,78.59,75.92,67.23,4.52,531.94,Ficus
143.41,829.48,63.91,38.97,39.22,2.89,5.98,96.18,61.96,68.69,33.3,1.63,226.92,Orchid
139.4,816.85,41.12,41.78,49.31,3.62,5.7,96.58,65.33,61.89,38.99,1.92,218.42,Orchid
128.37,797.73,44.22,27.97,35.08,2.98,7.41,165.27,79.51,84.65,66.47,4.16,508.03,Ficus
140.32,658.39,70.42,30.73,36.33,2.13,7.32,148.01,82.44,74.16,71.81,3.99,425.71,Ficus
129.16,796.59,59.99,28.58,38.67,2.15,6.25,66.77,38.51,39.28,47.81,1.42,27.52,Bonsai
140.3,749.68,39.46,41.21,37.59,2.63,5.83,54.49,25.52,45.06,52.34,1.45,54.83,Bonsai
168.16,866.2,50.51,38.55,37.83,2.64,5.6,92.83,61.72,49.35,35.63,2.13,245.73,Orchid
159.35,836.17,51.45,33.44,42.67,1.58,6.04,66.27,48.43,40.08,52.95,1.03,50.78,Bonsai
167.79,765.89,49.73,31.03,34.49,2.24,6.1,55.22,42.02,40.17,40.88,1.65,45.91,Bonsai
162.55,824.74,50.17,32.96,37.82,2.61,5.74,82.69,57.92,66.53,38.93,2.28,173.46,Orchid
140.12,890.9,51.01,41.27,47.71,2.6,6.81,142.34,83.57,79.79,76.06,4.21,523.73,Ficus
147.14,822.35,34.01,37.3,38.55,2.26,8.11,32.23,18.58,21.35,21.68,0.63,301.73,Succulent
119.82,802.98,49.45,34.95,43.37,3.21,5.63,101.97,58.8,56.25,53.19,1.86,227.78,Orchid
151.76,806.58,54.27,32.22,38.46,2.7,7.73,30.27,21.86,18.13,27.56,0.34,310.88,Succulent
126.12,794.08,48.06,42.27,39.51,3.36,5.82,55.32,46.2,30.42,42.01,1.2,52.58,Bonsai
156.12,809.46,60.42,28.35,38.0,1.82,5.48,80.7,60.2,57.53,46.79,1.73,211.31,Orchid
140.2,705.76,44.48,27.68,42.73,2.71,5.78,84.86,67.38,63.05,41.94,2.33,220.65,Orchid
161.06,798.74,50.31,36.01,44.54,2.69,8.23,34.41,23.39,14.98,18.18,0.28,296.47,Succulent
148.59,722.55,60.84,32.72,40.48,2.57,7.41,176.48,77.44,90.3,67.16,4.38,543.25,Ficus
145.67,727.7,61.44,31.39,38.78,2.33,8.66,35.84,22.74,21.18,23.92,0.24,331.92,Succulent
181.06,856.11,37.24,32.61,32.37,2.32,6.27,53.42,40.15,40.32,53.19,1.66,53.24,Bonsai
201.08,799.49,35.96,42.69,46.09,2.59,7.75,27.07,21.36,21.78,19.79,0.39,281.81,Succulent
128.56,763.14,61.98,38.23,34.88,2.54,7.6,37.31,20.8,21.29,18.89,0.21,292.21,Succulent
155.72,758.07,51.91,40.47,41.39,2.59,7.1,160.24,92.24,84.79,71.71,4.41,479.18,Ficus
84.7,940.76,42.02,37.73,37.58,3.0,5.55,78.18,62.72,65.34,38.61,1.81,173.87,Orchid
125.54,796.81,60.18,37.5,34.7,2.0,6.09,65.64,43.15,34.97,47.07,1.44,46.75,Bonsai
145.58,844.36,38.44,39.05,38.09,2.15,6.91,140.53,75.97,78.6,65.1,4.13,504.64,Ficus
133.61,807.78,51.95,25.27,46.05,1.93,6.21,75.8,44.45,39.25,36.93,1.35,56.08,Bonsai
137.7,718.49,52.19,45.57,41.12,2.05,5.01,101.39,58.97,59.58,48.02,2.01,163.19,Orchid
104.13,837.32,39.28,40.41,37.62,3.36,7.82,27.52,23.09,18.94,27.01,0.47,298.6,Succulent
149.8,770.1,54.51,29.7,26.94,1.92,8.2,25.6,19.98,20.21,19.39,0.41,237.69,Succulent
178.49,765.76,51.97,45.04,51.97,2.63,4.95,65.78,62.34,59.52,43.51,1.36,211.89,Orchid
133.64,802.26,51.65,38.77,40.88,2.8,7.23,166.63,87.69,71.6,71.45,3.93,531.0,Ficus
146.78,912.78,55.83,36.39,42.31,1.74,5.86,57.73,35.73,26.11,39.29,1.77,43.54,Bonsai
129.15,845.11,49.61,39.33,31.78,1.87,6.37,44.17,42.96,40.92,46.55,1.18,47.5,Bonsai
129.51,746.45,47.08,36.54,39.57,2.42,6.83,159.08,79.58,79.5,58.53,4.06,425.02,Ficus
155.99,783.37,47.69,32.5,44.31,2.32,5.86,71.95,47.1,50.84,49.6,1.34,42.73,Bonsai
159.16,826.39,73.32,33.84,50.94,2.14,5.88,84.26,57.05,57.32,42.53,1.84,216.25,Orchid
137.12,813.64,31.48,33.8,33.71,2.34,7.63,27.24,22.18,18.22,26.5,0.76,323.33,Succulent
152.94,821.01,64.42,34.11,36.49,1.87,7.02,167.47,85.64,91.96,68.13,3.54,482.0,Ficus
146.54,821.61,59.08,36.55,37.85,3.09,6.82,144.72,76.05,85.31,74.24,4.22,448.03,Ficus
153.33,691.22,50.88,26.97,42.84,1.81,5.62,80.55,47.73,58.28,48.06,1.61,188.59,Orchid
134.04,793.42,68.38,41.71,46.58,2.91,5.98,51.66,37.84,33.21,54.81,0.95,57.42,Bonsai
158.77,768.04,51.11,36.92,32.97,2.44,5.97,47.7,35.49,43.07,45.83,1.59,56.98,Bonsai
156.1,834.12,66.78,26.82,38.81,2.41,8.11,32.24,25.04,17.76,21.57,0.53,263.73,Succulent
153.67,785.58,45.65,28.18,31.73,2.56,5.53,49.47,34.29,37.1,50.29,1.55,56.13,Bonsai
139.51,783.53,64.71,38.58,31.56,2.41,7.21,159.38,74.85,78.16,71.34,3.7,519.7,Ficus
150.93,784.99,56.24,39.95,42.25,1.75,5.8,48.46,39.81,37.98,48.8,1.56,54.52,Bonsai
151.19,779.32,32.04,38.57,42.49,3.06,6.52,150.64,86.8,78.31,68.44,3.88,478.44,Ficus
163.04,837.66,66.9,27.21,39.94,2.76,8.59,28.32,21.72,16.77,23.06,0.62,297.28,Succulent
157.97,831.05,62.58,30.7,39.82,2.27,5.22,74.75,61.1,53.02,35.46,2.7,212.54,Orchid
113.23,774.27,35.53,35.0,37.69,2.97,5.52,86.82,55.95,60.58,33.51,2.34,175.68,Orchid
156.44,683.93,54.79,27.97,34.56,2.71,5.84,68.16,30.01,35.15,48.71,1.3,44.31,Bonsai
154.07,761.67,55.53,33.34,33.38,2.81,7.32,153.52,81.65,86.72,75.0,4.33,479.45,Ficus
138.55,785.19,51.34,33.12,49.05,2.21,5.99,57.67,35.83,46.39,50.47,1.76,39.31,Bonsai
105.57,810.56,58.4,40.35,31.47,2.27,5.55,87.15,57.55,57.14,43.82,2.01,213.93,Orchid
151.99,788.51,53.48,21.48,36.83,1.72,7.27,163.35,79.28,79.82,64.83,3.85,568.53,Ficus
146.57,813.84,59.67,38.25,39.31,1.99,7.92,29.33,14.9,20.98,17.98,0.39,328.78,Succulent
120.3,881.42,66.75,29.91,39.19,2.27,7.11,157.37,78.47,81.16,63.41,4.21,549.22,Ficus
156.52,854.09,55.1,39.99,51.73,3.19,7.43,152.77,79.89,78.24,59.75,3.36,545.23,Ficus
139.3,776.44,48.58,42.22,45.74,2.46,6.9,145.15,85.13,80.91,80.15,3.9,463.28,Ficus
137.23,841.7,54.23,29.75,40.58,1.73,7.84,29.6,20.23,18.4,23.6,0.29,315.88,Succulent
99.92,835.65,40.27,42.35,34.85,1.77,8.0,17.27,17.48,22.0,24.9,0.48,290.8,Succulent
161.09,880.13,51.77,38.51,37.64,3.15,5.92,65.12,36.48,38.41,43.71,1.57,38.33,Bonsai
169.93,763.35,52.01,38.66,50.27,2.17,7.0,153.05,78.82,73.7,77.91,2.77,465.37,Ficus
153.41,889.82,57.71,41.05,40.11,2.76,6.85,147.8,86.87,79.96,78.48,3.45,609.8,Ficus
144.18,751.52,29.4,32.55,38.65,1.88,6.43,58.94,32.57,34.82,48.14,1.2,48.76,Bonsai
143.21,844.52,43.8,37.37,40.81,2.58,7.52,30.05,24.83,22.97,19.94,0.5,322.86,Succulent
147.94,858.26,57.48,37.5,42.36,2.72,7.76,24.64,21.3,23.4,20.9,0.38,305.92,Succulent
150.62,774.05,25.51,27.83,44.67,3.59,5.47,81.71,62.54,58.31,35.95,2.32,194.21,Orchid
150.62,838.82,37.01,40.96,43.72,2.15,5.87,61.62,38.39,33.9,46.44,1.52,50.1,Bonsai
142.01,796.79,50.37,33.44,41.38,2.26,7.11,145.15,77.39,77.07,72.32,4.56,483.7,Ficus
149.68,819.4,58.46,30.47,41.35,2.52,5.45,72.24,54.27,64.67,39.09,2.73,212.81,Orchid
202.89,803.0,66.73,34.05,40.3,2.31,7.06,156.65,82.43,86.14,73.25,3.76,542.24,Ficus
140.34,802.95,57.16,43.03,39.85,2.06,7.62,140.04,80.16,82.98,76.42,3.39,466.8,Ficus
120.18,778.25,58.53,36.3,46.32,2.31,5.59,94.85,63.13,59.12,39.6,1.07,193.93,Orchid
177.39,871.34,63.17,35.57,44.26,2.46,6.31,63.81,41.2,38.59,39.59,1.39,52.18,Bonsai
145.73,780.4,44.39,31.4,46.42,2.39,6.59,143.04,83.21,75.88,75.33,4.24,423.09,Ficus
139.92,801.98,59.67,38.65,39.67,2.63,5.72,82.15,63.8,63.89,46.65,1.89,185.97,Orchid
153.19,902.72,50.1,33.81,39.92,3.34,5.5,80.62,61.46,67.19,43.79,2.39,227.16,Orchid
136.26,849.91,50.13,39.14,42.54,2.02,7.81,25.33,21.87,17.63,17.14,0.49,289.86,Succulent
93.03,783.36,60.47,37.99,40.19,2.19,7.65,150.38,82.83,75.28,65.46,3.66,485.85,Ficus
173.77,790.63,59.68,26.86,36.76,2.06,7.25,145.24,81.01,72.76,73.31,3.73,546.54,Ficus
135.98,751.94,59.63,27.75,33.61,3.23,4.94,81.27,61.37,52.46,42.75,1.39,200.33,Orchid
170.72,778.8,41.47,31.28,35.48,3.61,5.6,65.73,35.72,47.84,55.79,1.53,47.9,Bonsai
128.4,785.94,55.94,40.87,41.21,2.31,7.42,37.56,16.54,22.55,23.84,0.23,326.51,Succulent
147.88,721.2,51.62,40.4,52.77,2.05,7.74,35.18,19.3,20.67,16.06,0.61,273.82,Succulent
137.08,773.77,52.43,45.01,36.8,2.73,6.73,168.33,75.92,82.76,70.43,2.98,424.65,Ficus
153.87,794.44,62.63,34.93,37.61,2.3,5.55,86.95,55.57,53.99,45.58,2.2,204.81,Orchid
180.43,792.49,63.45,16.99,47.95,2.32,7.03,140.41,81.63,82.95,64.03,4.12,486.58,Ficus
157.23,780.12,45.8,30.88,45.27,2.51,7.49,163.71,81.4,86.05,65.89,4.39,458.23,Ficus
130.18,689.66,63.15,28.99,45.47,2.4,8.57,32.55,19.05,23.27,19.06,0.3,351.81,Succulent
162.4,866.16,63.58,30.17,41.45,2.92,5.08,97.36,58.29,66.35,44.07,2.03,194.01,Orchid
123.83,725.85,33.57,36.13,34.29,2.53,5.5,91.95,62.12,61.04,36.65,2.06,181.88,Orchid
150.67,793.24,50.69,28.66,49.19,2.42,5.81,100.83,55.39,57.77,42.17,2.1,207.51,Orchid
129.3,811.97,36.67,39.98,40.12,3.82,6.91,159.88,72.66,76.47,64.9,4.22,481.91,Ficus
97.12,754.63,43.47,30.82,32.29,3.52,5.63,81.92,57.09,63.76,35.51,1.84,196.64,Orchid
199.18,812.33,49.16,29.26,51.95,2.9,7.67,31.18,19.65,19.05,17.61,0.62,332.74,Succulent
133.56,791.2,52.45,28.25,37.6,2.31,6.64,54.37,44.99,38.79,51.06,1.25,36.17,Bonsai
115.73,823.6,54.61,32.56,41.22,2.85,5.1,98.3,60.14,54.81,37.32,2.13,194.75,Orchid
142.61,845.67,58.34,30.29,31.09,2.52,7.1,146.06,74.26,78.37,61.07,3.18,491.8,Ficus
130.88,810.17,46.65,40.52,41.39,2.43,7.99,25.89,22.2,22.48,22.24,0.44,361.31,Succulent
127.26,751.82,50.65,34.69,38.73,2.48,6.04,57.03,29.02,39.15,54.78,1.75,47.89,Bonsai
126.75,779.46,60.92,27.83,41.5,2.47,8.0,38.32,17.58,15.0,16.56,0.62,300.1,Succulent
179.52,800.86,45.35,31.48,44.83,2.01,7.98,28.63,18.96,15.99,22.28,0.55,344.78,Succulent
147.85,711.25,49.62,27.35,38.78,2.65,8.52,28.14,19.41,22.77,16.14,0.44,338.17,Succulent
146.63,802.22,41.0,25.4,49.12,2.48,5.83,62.43,43.72,38.37,51.78,1.08,39.6,Bonsai
138.72,806.45,47.2,35.91,38.71,2.77,8.0,27.0,19.49,11.9,16.16,0.66,277.23,Succulent
148.0,773.43,40.27,36.71,41.8,3.13,7.24,132.43,80.2,83.92,68.57,3.77,509.75,Ficus
153.19,791.44,61.13,38.0,43.93,1.99,6.07,57.16,41.64,43.19,52.35,1.31,39.86,Bonsai
140.81,734.04,60.22,42.16,49.32,2.91,7.43,161.73,76.05,90.64,59.54,3.77,495.15,Ficus
160.76,749.73,59.65,30.52,34.91,2.84,6.15,57.34,42.35,32.93,48.52,2.01,44.13,Bonsai
168.18,813.49,46.81,35.14,38.68,2.11,7.8,22.85,18.36,17.5,15.2,0.41,282.77,Succulent
163.83,733.66,46.95,33.51,43.9,2.35,6.15,51.41,43.29,39.89,43.51,2.4,41.89,Bonsai
147.36,819.8,31.77,31.12,35.61,1.76,6.12,62.06,43.08,43.32,47.39,1.83,52.42,Bonsai
141.64,824.94,51.02,32.47,46.52,2.4,6.0,61.6,39.78,43.9,47.8,1.54,44.22,Bonsai
151.61,770.69,35.19,33.13,40.74,3.02,6.2,57.98,41.45,46.56,51.63,1.12,52.05,Bonsai
184.23,776.74,47.86,40.17,42.74,2.68,6.33,75.82,44.52,37.63,58.51,1.52,54.08,Bonsai
171.65,771.3,56.26,41.26,39.91,2.25,6.13,68.11,33.53,38.24,36.68,1.77,65.76,Bonsai
130.43,789.89,44.01,46.83,36.72,2.41,5.59,64.17,42.8,38.98,57.08,1.25,74.15,Bonsai
184.64,791.73,42.74,24.3,35.69,2.2,8.26,31.06,23.07,14.89,20.75,0.19,297.39,Succulent
119.04,719.48,40.31,35.18,36.55,2.95,8.18,24.37,21.27,19.67,19.62,0.67,281.35,Succulent
148.91,729.72,49.65,30.32,38.9,2.67,6.86,140.78,77.36,81.11,72.54,2.56,438.73,Ficus
163.73,837.21,49.94,34.56,42.72,1.47,7.28,159.23,80.73,84.08,74.0,5.18,495.41,Ficus
190.4,747.58,54.3,35.14,39.19,2.45,8.07,30.26,23.5,18.48,23.06,0.53,265.75,Succulent
146.35,812.81,44.52,28.58,38.18,2.45,8.66,24.11,17.69,12.59,14.45,0.48,253.02,Succulent
121.51,734.56,57.84,33.62,35.25,2.53,7.35,160.28,78.78,80.97,68.32,4.28,531.31,Ficus
158.95,783.9,46.12,34.64,33.71,3.79,6.37,141.93,80.66,72.13,69.47,3.99,427.62,Ficus
153.54,775.32,72.55,36.37,36.22,1.86,5.53,80.05,63.26,58.6,31.54,1.98,175.94,Orchid
145.47,708.0,49.36,39.28,37.85,2.72,6.55,159.19,74.32,73.11,68.11,3.89,546.67,Ficus
114.44,832.47,44.53,24.36,45.03,2.65,5.18,98.32,65.83,57.71,32.26,2.26,172.41,Orchid
124.36,766.93,41.96,25.1,39.11,2.2,5.9,95.03,62.08,54.19,36.46,1.7,227.92,Orchid
152.28,826.33,44.56,41.3,32.77,2.88,7.49,34.46,19.09,21.84,14.42,0.54,313.64,Succulent
194.2,776.41,50.17,34.8,34.5,2.12,5.39,88.73,66.02,56.57,37.89,1.99,207.71,Orchid
142.46,795.71,50.36,31.2,37.63,1.51,4.97,86.39,59.5,60.3,39.43,2.29,157.15,Orchid
180.03,806.31,61.5,38.5,37.87,3.26,6.7,150.19,80.42,73.28,64.77,4.01,554.37,Ficus
177.12,770.86,43.67,33.64,40.45,2.47,7.05,155.8,81.25,83.92,61.24,4.51,467.48,Ficus
120.22,809.79,47.81,32.76,39.94,2.57,8.46,28.26,21.76,17.2,24.57,0.5,268.79,Succulent
146.55,835.73,58.28,38.99,38.49,2.5,6.6,151.94,77.75,80.49,64.15,4.51,438.41,Ficus
152.52,817.5,59.38,32.95,50.37,2.71,7.77,32.4,14.75,14.05,21.11,0.33,268.47,Succulent
149.85,871.07,56.06,33.07,45.23,1.39,8.29,27.35,25.56,22.82,25.38,0.68,313.58,Succulent
171.86,839.34,45.25,39.24,36.37,1.69,5.83,75.25,58.45,61.48,38.25,1.69,221.49,Orchid
179.97,827.38,57.14,38.5,39.19,2.72,6.17,46.84,36.39,40.94,49.61,1.84,49.0,Bonsai
138.9,873.2,42.28,30.81,39.22,3.13,5.02,85.66,56.1,54.21,38.02,1.98,160.69,Orchid
128.48,846.09,52.49,25.51,35.18,3.01,6.12,92.86,62.95,50.39,44.7,2.12,207.99,Orchid
143.94,738.96,36.11,38.74,34.06,2.4,5.51,86.75,64.63,61.51,34.39,2.09,204.64,Orchid
156.75,756.59,49.21,33.6,44.71,3.0,6.87,144.92,81.68,89.46,68.84,3.77,536.72,Ficus
135.68,764.05,49.57,34.41,38.27,2.97,8.39,28.89,22.0,15.58,13.31,0.62,367.11,Succulent
162.13,876.66,57.39,37.67,34.02,2.96,5.42,95.17,57.41,67.1,50.77,2.02,200.54,Orchid
134.74,825.64,58.86,28.91,42.61,2.35,5.39,92.27,67.41,66.93,43.87,2.17,194.48,Orchid
109.72,787.64,45.33,36.22,38.91,2.41,5.71,75.31,41.04,40.78,45.39,2.05,54.91,Bonsai
153.59,788.86,56.13,39.25,32.55,1.77,7.13,139.82,72.29,79.4,73.9,4.3,504.89,Ficus
190.69,833.33,48.76,45.83,37.21,3.09,7.84,23.25,22.82,20.8,23.29,0.08,321.68,Succulent
136.57,757.16,38.78,26.37,36.55,2.13,6.99,137.63,89.7,90.25,78.96,3.95,484.2,Ficus
121.56,834.1,34.68,33.12,34.01,2.11,6.55,149.03,79.34,79.29,71.14,4.26,502.4,Ficus
154.83,850.09,40.64,41.35,34.28,2.85,6.42,58.14,34.16,38.41,57.68,1.84,59.23,Bonsai
131.56,830.99,59.37,35.29,36.19,2.17,6.96,168.88,78.92,78.06,67.93,4.22,529.8,Ficus
137.89,851.35,66.85,31.02,34.97,1.79,7.28,138.79,78.03,84.76,76.32,3.25,466.07,Ficus
135.51,879.65,47.96,32.14,40.19,2.5,5.92,57.21,47.57,42.81,44.42,0.78,57.56,Bonsai
102.71,839.23,33.0,35.48,38.11,2.31,6.49,56.59,44.33,35.81,47.13,1.43,26.12,Bonsai
105.54,785.72,39.71,35.36,40.59,3.22,5.57,93.74,54.85,53.15,40.85,1.71,176.83,Orchid
162.76,850.47,62.58,33.94,36.41,2.43,7.49,140.32,78.84,86.89,75.89,3.8,549.62,Ficus
148.13,780.23,60.36,36.12,42.2,2.98,6.31,61.64,37.86,36.43,54.17,1.62,53.92,Bonsai
109.61,768.92,65.64,32.3,46.44,1.13,8.14,36.23,17.31,21.19,19.64,0.45,305.71,Succulent
224.91,851.42,42.2,39.77,41.73,1.22,5.58,85.52,57.43,54.48,27.54,2.15,221.57,Orchid
147.91,764.27,53.38,38.55,35.93,2.49,6.98,136.05,90.11,79.16,73.97,3.16,560.66,Ficus
101.81,769.42,63.04,34.69,42.77,1.87,5.59,85.8,53.06,53.07,41.38,1.69,176.44,Orchid
157.54,810.74,52.39,29.34,38.5,2.25,7.11,156.04,78.04,77.77,64.54,4.19,558.45,Ficus
150.01,796.66,45.05,29.54,34.59,2.54,5.6,86.72,55.48,64.3,46.31,2.12,238.79,Orchid
138.43,859.41,67.96,33.01,33.27,1.86,6.68,61.5,34.06,39.99,49.15,1.57,63.28,Bonsai
209.99,799.07,69.27,38.19,36.48,1.97,5.67,88.49,55.91,69.13,29.73,1.98,228.31,Orchid
145.81,814.41,41.6,35.57,39.83,3.3,8.11,26.14,21.87,22.56,20.82,0.29,314.31,Succulent
100.5,825.53,47.93,36.82,38.09,3.01,7.63,33.77,27.15,17.47,19.41,0.61,294.19,Succulent
167.05,834.32,49.22,36.8,35.18,2.92,6.88,150.66,80.55,78.1,72.65,3.45,594.09,Ficus
187.12,849.29,66.46,34.69,33.98,2.89,5.74,56.71,42.76,38.46,49.72,1.57,40.42,Bonsai
122.44,785.95,42.18,32.82,35.96,2.61,5.78,53.06,39.68,37.36,46.57,2.07,50.75,Bonsai
161.33,789.6,37.61,36.66,42.86,2.1,8.77,32.08,22.67,16.31,18.98,0.57,309.28,Succulent
157.68,862.39,30.02,29.27,28.41,2.89,6.2,50.29,41.3,42.4,55.82,1.7,40.0,Bonsai
141.59,754.9,42.21,36.15,36.61,2.6,6.72,145.79,83.53,76.37,66.05,3.7,430.68,Ficus
156.48,772.08,51.54,39.79,35.87,3.07,7.35,155.72,75.25,76.04,64.04,4.03,548.51,Ficus
125.29,781.0,65.38,33.5,50.57,1.88,5.68,90.94,65.99,65.12,41.39,1.53,179.8,Orchid
147.32,841.49,46.88,33.45,37.03,2.02,6.43,72.05,42.59,42.9,45.06,1.26,61.11,Bonsai
125.78,754.07,41.22,41.28,46.92,2.91,7.33,159.15,90.4,73.98,71.46,5.23,445.11,Ficus
169.65,817.12,50.34,36.66,38.8,2.0,6.81,141.96,75.44,67.85,63.84,4.65,507.34,Ficus
137.01,791.36,59.72,38.49,38.5,3.15,7.0,155.36,81.79,81.53,67.15,3.36,505.65,Ficus
147.0,795.05,60.34,35.17,41.24,1.84,6.97,132.77,76.72,74.01,66.94,3.19,581.69,Ficus
144.08,772.95,43.72,34.38,46.42,2.15,5.68,97.02,50.79,56.56,40.09,1.81,170.78,Orchid
169.61,802.35,57.83,43.28,39.71,2.16,7.54,37.31,23.86,21.06,23.55,0.26,357.98,Succulent
146.76,788.12,48.08,41.87,40.95,1.83,8.5,20.32,18.52,17.22,16.68,0.7,225.07,Succulent
125.81,745.39,54.76,28.12,41.13,2.1,7.02,150.4,93.32,85.6,58.24,4.98,411.34,Ficus
156.51,805.6,56.78,26.3,35.15,2.43,8.32,25.57,16.03,26.79,18.13,0.74,256.35,Succulent
136.65,894.78,63.74,22.86,43.9,2.16,7.7,29.05,18.85,20.74,19.8,0.49,335.06,Succulent
172.02,741.03,61.81,36.57,43.44,2.19,7.4,148.5,90.48,82.55,75.11,4.39,562.16,Ficus
137.65,913.73,45.08,35.96,43.15,2.31,5.35,97.69,61.92,54.61,35.26,1.78,179.19,Orchid
129.26,786.05,41.95,39.99,42.68,1.76,7.28,143.47,82.89,84.36,75.7,3.31,527.57,Ficus
176.37,742.09,52.7,39.2,35.43,2.47,8.02,30.31,13.65,20.28,29.67,0.46,247.19,Succulent
164.8,817.4,52.87,36.95,32.46,1.85,6.01,52.42,35.23,38.36,44.33,1.44,52.33,Bonsai
119.7,760.7,62.95,35.65,36.71,2.25,7.1,135.25,83.13,70.01,65.08,3.93,520.88,Ficus
172.38,724.47,58.03,32.13,38.54,3.27,5.05,86.54,60.26,57.33,38.75,1.65,190.79,Orchid
165.07,668.51,49.11,44.3,44.07,3.04,5.56,84.82,65.44,57.46,44.38,1.43,209.59,Orchid
169.52,806.17,71.59,45.66,42.54,3.33,5.79,70.71,42.89,31.0,45.84,1.4,61.38,Bonsai
100.57,921.34,53.7,35.41,40.3,2.37,6.8,161.83,74.01,81.39,74.41,4.11,480.72,Ficus
175.67,757.3,40.14,34.81,41.36,2.35,5.69,92.08,62.14,55.43,44.52,2.58,225.99,Orchid
